id;label;y;x;size
376;Trzebiatów;1.094794521;15.260;2
377;Trzebinia;7.038616438;19.450;2
378;Trzebnica;5.289986301;17.060;2
379;Tuchola;1.824657534;17.850;2
380;Turek;4.21039726;18.479;2
381;Tychy;7.038616438;19.000;2
382;Ustka;0.317794521;16.850;2
383;Ustroń;7.709178082;18.799;2
384;Ustrzyki Dolne;8.148616438;22.610;2
385;Wabrzezno;2.294506849;18.940;2
386;Wadowice;7.465890411;19.489;2
387;Wągrowiec;3.009164384;17.200;2
388;Wałbrzych;6.095876712;16.280;2
389;Wałcz;2.309712329;16.470;2
390;Warka;4.546438356;21.190;2
391;Warszawa;3.846986301;21.020;2
392;Węgorzewo;0.865191781;21.749;2
393;Węgrów;3.634109589;22.010;2
394;Wejherowo;0.28890411;18.230;2
395;Wesoła;3.846986301;21.200;2
396;Wieliczka;7.297109589;20.090;2
397;Wieluń;5.428356164;18.569;2
398;Wisła;7.800410959;18.870;2
399;Władysławowo;0;18.400;2
400;Włocławek;3.238767123;19.059;2
401;Włodawa;4.926575342;23.559;2
402;Włoszczowa;5.974232877;19.969;2
403;Wodzisław Śląski;7.22260274;18.400;2
404;Wojkowice;6.734506849;19.010;2
405;Wolbrom;6.688890411;19.770;2
406;Wolomin;3.725342466;21.229;2
407;Wołów;5.26109589;16.629;2
408;Wolsztyn;4.075068493;16.109;2
409;Wrocław;5.59409589;17.030;2
410;Wronki;3.176424658;16.360;2
411;Września;3.754232877;17.579;2
412;Wschowa;4.546438356;16.319;2
413;Wysokie Mazowieckie;2.857109589;22.509;2
414;Wyszków;3.33;21.449;2
415;Ząbkowice Śląskie;6.384780822;16.819;2
416;Zabrze;6.827260274;18.779;2
417;Zakopane;8.363013699;19.959;2
418;Zambrów;2.750671233;22.239;2
419;Zamość;6.173424658;23.260;2
420;Zawadzkie;6.340684932;18.459;2
421;Zawiercie;6.538356164;19.420;2
422;Zduńska Wola;4.835342466;18.940;2
423;Zdzieszowice;6.644794521;18.120;2
424;Zgierz;4.44;19.410;2
425;Zgorzelec;5.534794521;15.009;2
426;Ziębice;6.37109589;17.050;2
427;Zielona Gora;4.332041096;15.489;2
428;Zielonka;3.786164384;21.169;2
429;Złocieniec;1.915890411;16.000;2
430;Złotoryja;5.580410959;15.909;2
431;Złotów;2.174383562;17.030;2
432;Żabki;3.799849315;21.110;2
433;Żagań;4.820136986;15.299;2
434;Żary;4.774520548;15.130;2
435;Żnin;2.948342466;17.709;2
436;Żory;7.176986301;18.689;2
437;Żychlin;3.860671233;19.620;2
438;Żyrardów;4.149575342;20.450;2
439;Żywiec;7.479575342;19.180;2
